question_text,answer_type,answer_1,answer_2,answer_3,answer_4,correct_answer,explanation
"Что такое SQL?",single,"Язык программирования","Язык запросов к БД","Операционная система","Браузер",2,"SQL - это Structured Query Language"
"Какая команда используется для выборки данных?",single,"INSERT","SELECT","UPDATE","DELETE",2,"SELECT используется для выборки данных из таблиц"
"Что делает команда JOIN?",single,"Удаляет данные","Обновляет таблицу","Объединяет таблицы","Создаёт индекс",3,"JOIN объединяет строки из двух или более таблиц"
"Выберите типы JOIN:",multiple,"INNER JOIN","LEFT JOIN","MIDDLE JOIN","RIGHT JOIN","1,2,4","Существуют: INNER, LEFT, RIGHT, FULL. MIDDLE JOIN - не существует"
"Что такое первичный ключ?",single,"Любое поле","Уникальный идентификатор записи","Внешний ключ","Индекс",2,"PRIMARY KEY уникально идентифирует каждую запись в таблице"
"Какая команда создаёт таблицу?",single,"INSERT TABLE","MAKE TABLE","CREATE TABLE","NEW TABLE",3,"CREATE TABLE используется для создания новых таблиц"
"Что делает команда WHERE?",single,"Сортирует данные","Фильтрует данные","Группирует данные","Удаляет данные",2,"WHERE используется для фильтрации записей по условию"
"Выберите агрегатные функции:",multiple,"COUNT","SUM","JOIN","AVG","1,2,4","COUNT, SUM, AVG, MIN, MAX - агрегатные функции. JOIN - это не функция"
"Что такое индекс в БД?",single,"Резервная копия","Структура для ускорения поиска","Внешний ключ","Таблица",2,"Индекс ускоряет поиск данных в таблице"
"Для чего используется DISTINCT?",single,"Для сортировки","Для удаления дубликатов","Для подсчёта","Для группировки",2,"DISTINCT возвращает только уникальные значения"
